Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000210049	ENSG00000210049.1	577	647	MT	MT-TF
ENSG00000211459	ENSG00000211459.2	648	1601	MT	MT-RNR1
ENSG00000210077	ENSG00000210077.1	1602	1670	MT	MT-TV
ENSG00000210082	ENSG00000210082.2	1671	3229	MT	MT-RNR2
ENSG00000209082	ENSG00000209082.1	3230	3304	MT	MT-TL1
ENSG00000198888	ENSG00000198888.2	3307	4262	MT	MT-ND1
ENSG00000210100	ENSG00000210100.1	4263	4331	MT	MT-TI
ENSG00000210107	ENSG00000210107.1	4329	4400	MT	MT-TQ
ENSG00000210112	ENSG00000210112.1	4402	4469	MT	MT-TM
ENSG00000198763	ENSG00000198763.3	4470	5511	MT	MT-ND2
ENSG00000210117	ENSG00000210117.1	5512	5579	MT	MT-TW
ENSG00000210127	ENSG00000210127.1	5587	5655	MT	MT-TA
ENSG00000210135	ENSG00000210135.1	5657	5729	MT	MT-TN
ENSG00000210140	ENSG00000210140.1	5761	5826	MT	MT-TC
ENSG00000210144	ENSG00000210144.1	5826	5891	MT	MT-TY
ENSG00000198804	ENSG00000198804.2	5904	7445	MT	MT-CO1
ENSG00000210151	ENSG00000210151.2	7446	7514	MT	MT-TS1
ENSG00000210154	ENSG00000210154.1	7518	7585	MT	MT-TD
ENSG00000198712	ENSG00000198712.1	7586	8269	MT	MT-CO2
ENSG00000210156	ENSG00000210156.1	8295	8364	MT	MT-TK
ENSG00000228253	ENSG00000228253.1	8366	8572	MT	MT-ATP8
ENSG00000198899	ENSG00000198899.2	8527	9207	MT	MT-ATP6
ENSG00000198938	ENSG00000198938.2	9207	9990	MT	MT-CO3
ENSG00000210164	ENSG00000210164.1	9991	10058	MT	MT-TG
ENSG00000198840	ENSG00000198840.2	10059	10404	MT	MT-ND3
ENSG00000210174	ENSG00000210174.1	10405	10469	MT	MT-TR
ENSG00000212907	ENSG00000212907.2	10470	10766	MT	MT-ND4L
ENSG00000198886	ENSG00000198886.2	10760	12137	MT	MT-ND4
ENSG00000210176	ENSG00000210176.1	12138	12206	MT	MT-TH
ENSG00000210184	ENSG00000210184.1	12207	12265	MT	MT-TS2
ENSG00000210191	ENSG00000210191.1	12266	12336	MT	MT-TL2
ENSG00000198786	ENSG00000198786.2	12337	14148	MT	MT-ND5
ENSG00000198695	ENSG00000198695.2	14149	14673	MT	MT-ND6
ENSG00000210194	ENSG00000210194.1	14674	14742	MT	MT-TE
ENSG00000198727	ENSG00000198727.2	14747	15887	MT	MT-CYB
ENSG00000210195	ENSG00000210195.2	15888	15953	MT	MT-TT
ENSG00000210196	ENSG00000210196.2	15956	16023	MT	MT-TP
ENSG00000201217	ENSG00000201217.1	152449272	152449384	3	Y_RNA
ENSG00000200036	ENSG00000200036.1	167005959	167006077	1	RNA5SP65
ENSG00000241791	ENSG00000241791.3	46448224	46448511	2	RN7SL817P
ENSG00000252050	ENSG00000252050.1	38308112	38308241	X	AL606748.2
ENSG00000200898	ENSG00000200898.1	61937894	61938000	11	RNU6-1243P
ENSG00000252396	ENSG00000252396.1	237120807	237121109	1	RN7SKP195
ENSG00000199509	ENSG00000199509.1	21138956	21139074	20	RNA5SP477
ENSG00000206991	ENSG00000206991.1	43637632	43637738	15	RNU6-610P
ENSG00000252429	ENSG00000252429.2	26602369	26602432	1	RNU7-29P
ENSG00000207507	ENSG00000207507.1	893484	893590	19	RNU6-9
ENSG00000201231	ENSG00000201231.1	58814412	58814552	8	RNU4-50P
ENSG00000201968	ENSG00000201968.1	126564565	126564678	3	RNA5SP138
ENSG00000206959	ENSG00000206959.1	53544615	53544725	20	Y_RNA
ENSG00000278592	ENSG00000278592.1	27187819	27188021	7	AC004080.15
ENSG00000200652	ENSG00000200652.1	28179098	28179223	16	AC136611.1
ENSG00000201168	ENSG00000201168.1	101779814	101779929	12	RNA5SP368
ENSG00000221345	ENSG00000221345.2	71126893	71127105	6	U3
ENSG00000199335	ENSG00000199335.1	3044101	3044207	4	RNU6-204P
ENSG00000206711	ENSG00000206711.1	166312935	166313034	4	Y_RNA
ENSG00000202095	ENSG00000202095.1	96431054	96431160	8	RNU6-1172P
ENSG00000206760	ENSG00000206760.1	39408389	39408539	3	SNORA6
ENSG00000252341	ENSG00000252341.1	10292041	10292148	5	Y_RNA
ENSG00000201301	ENSG00000201301.1	49467115	49467228	3	RNA5SP130
ENSG00000252312	ENSG00000252312.1	36231555	36231774	14	RN7SKP21
ENSG00000252634	ENSG00000252634.1	21785292	21785587	10	RN7SKP219
ENSG00000252812	ENSG00000252812.1	40407122	40407440	13	RN7SKP2
ENSG00000221643	ENSG00000221643.1	203729581	203729705	1	SNORA77
ENSG00000252951	ENSG00000252951.1	147745303	147745417	4	RNA5SP165
ENSG00000200816	ENSG00000200816.1	31623079	31623210	6	SNORA38
ENSG00000243770	ENSG00000243770.3	174240143	174240457	2	RN7SL65P
ENSG00000243549	ENSG00000243549.3	62650308	62650601	18	RN7SL705P
ENSG00000253031	ENSG00000253031.1	103689473	103689577	9	RNA5SP291
ENSG00000201990	ENSG00000201990.1	6004283	6004385	7	Y_RNA
ENSG00000207371	ENSG00000207371.1	41917416	41917526	6	Y_RNA
ENSG00000252960	ENSG00000252960.1	18651147	18651450	9	RN7SKP258
ENSG00000252866	ENSG00000252866.1	128697710	128697744	7	RNA5SP243
ENSG00000251895	ENSG00000251895.1	84739942	84740052	14	RNU6-976P
ENSG00000207158	ENSG00000207158.1	56785981	56786087	20	RNU6-929P
ENSG00000206645	ENSG00000206645.1	37093133	37093234	3	Y_RNA
ENSG00000202417	ENSG00000202417.1	132945342	132945454	5	Y_RNA
ENSG00000283327	ENSG00000283327.1	24953796	24953867	8	MIR6841
ENSG00000207970	ENSG00000207970.3	50013241	50013337	X	MIR660
ENSG00000284078	ENSG00000284078.1	86620497	86620575	5	SNORD138
ENSG00000266738	ENSG00000266738.1	19348429	19348505	2	MIR4757
ENSG00000207923	ENSG00000207923.1	47377675	47377770	2	MIR559
ENSG00000284568	ENSG00000284568.1	53787677	53787742	19	MIR371B
ENSG00000264511	ENSG00000264511.1	75406069	75406162	17	MIR3678
ENSG00000264371	ENSG00000264371.1	25023503	25023586	1	MIR4425
ENSG00000266676	ENSG00000266676.1	129843299	129843374	10	MIR4297
ENSG00000222761	ENSG00000222761.1	104400943	104401048	14	RNU6-684P
ENSG00000202254	ENSG00000202254.1	99791662	99791753	1	Y_RNA
ENSG00000200882	ENSG00000200882.1	177126017	177126120	3	RNU6-681P
ENSG00000252860	ENSG00000252860.1	200054061	200054165	1	RNU6-570P
ENSG00000202471	ENSG00000202471.1	59586793	59586943	12	RNU4-20P
ENSG00000253064	ENSG00000253064.1	29424762	29424867	17	RNU6-711P
ENSG00000201210	ENSG00000201210.1	127963608	127963724	3	RNA5SP139
ENSG00000252581	ENSG00000252581.1	149525631	149525726	3	RNU6-1098P
ENSG00000199584	ENSG00000199584.1	127619336	127619447	12	Y_RNA
ENSG00000252470	ENSG00000252470.1	107435118	107435220	4	RNU6-551P
ENSG00000223280	ENSG00000223280.1	41354557	41354659	13	RNU6-57P
ENSG00000252481	ENSG00000252481.1	95533355	95533629	14	SCARNA13
ENSG00000275631	ENSG00000275631.1	9646825	9647000	21	U1
ENSG00000272197	ENSG00000272197.2	154718383	154718689	5	RN7SL803P
ENSG00000201885	ENSG00000201885.1	77013583	77013684	7	Y_RNA
ENSG00000201432	ENSG00000201432.1	36337667	36337778	7	Y_RNA
ENSG00000200350	ENSG00000200350.1	154543933	154544037	4	RNU6-1285P
ENSG00000212479	ENSG00000212479.2	29180425	29180639	21	U3
ENSG00000242699	ENSG00000242699.3	29681027	29681323	2	RN7SL516P
ENSG00000199349	ENSG00000199349.1	206747980	206748092	1	Y_RNA
ENSG00000244034	ENSG00000244034.3	55063738	55064026	4	RN7SL424P
ENSG00000238658	ENSG00000238658.1	78066947	78067053	17	RNU6-625P
ENSG00000251967	ENSG00000251967.1	46650510	46650590	3	AC104304.1
ENSG00000200114	ENSG00000200114.1	12511095	12511213	3	RNA5SP123
ENSG00000222649	ENSG00000222649.1	119057880	119057974	6	Y_RNA
ENSG00000207014	ENSG00000207014.1	25056860	25056954	15	SNORD116-3
ENSG00000207237	ENSG00000207237.1	25964197	25964300	1	RNU6-110P
ENSG00000238427	ENSG00000238427.1	160472348	160472416	3	RNU7-136P
ENSG00000274059	ENSG00000274059.1	207708898	207708981	1	RNA5SP534
ENSG00000251825	ENSG00000251825.1	73191604	73191855	1	RN7SKP19
ENSG00000206805	ENSG00000206805.1	48479097	48479198	17	Y_RNA
ENSG00000200057	ENSG00000200057.1	21389191	21389491	22	RN7SKP63
ENSG00000201302	ENSG00000201302.1	127448501	127448630	9	SNORA65
ENSG00000275904	ENSG00000275904.1	67697076	67697187	9	Y_RNA
